,Model,eps,algorithm,R2,Silhouette,Calinski-Harabasz
0,dbscan,15,ball_tree,0.07012531720201463,0.4633834106789477,479.9631359545914
1,dbscan,15,kd_tree,0.07012531720201463,0.4633834106789477,479.9631359545914
2,dbscan,15,brute,0.07012531720201463,0.4633834106789477,479.9631359545914
3,dbscan,16,ball_tree,0.07175681267274941,0.6099566388627836,820.0397042765109
4,dbscan,16,kd_tree,0.07175681267274941,0.6099566388627836,820.0397042765109
5,dbscan,16,brute,0.07175681267274941,0.6099566388627836,820.0397042765109
6,dbscan,17,ball_tree,0.07173617726793724,0.6202827233622222,819.7856577223608
7,dbscan,17,kd_tree,0.07173617726793724,0.6202827233622222,819.7856577223608
8,dbscan,17,brute,0.07173617726793724,0.6202827233622222,819.7856577223608
9,dbscan,18,ball_tree,0.06581193710246552,0.6424846161506617,2242.0867846743295
10,dbscan,18,kd_tree,0.06581193710246552,0.6424846161506617,2242.0867846743295
11,dbscan,18,brute,0.06581193710246552,0.6424846161506617,2242.0867846743295
12,dbscan,19,ball_tree,0.06904689104413603,0.36116031739410503,786.7736979982731
13,dbscan,19,kd_tree,0.06904689104413603,0.36116031739410503,786.7736979982731
14,dbscan,19,brute,0.06904689104413603,0.36116031739410503,786.7736979982731
15,dbscan,20,ball_tree,0.06961258033769317,0.6606708292882831,1190.590243605826
16,dbscan,20,kd_tree,0.06961258033769317,0.6606708292882831,1190.590243605826
17,dbscan,20,brute,0.06961258033769317,0.6606708292882831,1190.590243605826
18,dbscan,21,ball_tree,0.07041593891033952,0.6637706962561293,803.555387003171
19,dbscan,21,kd_tree,0.07041593891033952,0.6637706962561293,803.555387003171
20,dbscan,21,brute,0.07041593891033952,0.6637706962561293,803.555387003171
21,dbscan,22,ball_tree,0.06335611340698104,0.6629300594424807,1076.3473386408168
22,dbscan,22,kd_tree,0.06335611340698104,0.6629300594424807,1076.3473386408168
23,dbscan,22,brute,0.06335611340698104,0.6629300594424807,1076.3473386408168
24,dbscan,23,ball_tree,0.060631127057623205,0.688969053826286,2054.194369557621
25,dbscan,23,kd_tree,0.060631127057623205,0.688969053826286,2054.194369557621
26,dbscan,23,brute,0.060631127057623205,0.688969053826286,2054.194369557621
27,dbscan,24,ball_tree,0.05947806774883807,0.6971579692618893,2012.6579926144855
28,dbscan,24,kd_tree,0.05947806774883807,0.6971579692618893,2012.6579926144855
29,dbscan,24,brute,0.05947806774883807,0.6971579692618893,2012.6579926144855
