,Model,eps,algorithm,R2,Silhouette,Calinski-Harabasz
0,dbscan,0.25,ball_tree,0.1551787214586115,0.3824658031696626,5666.2318068267705
1,dbscan,0.35,ball_tree,0.14636553158113805,0.4972156447735811,5289.247429965973
2,dbscan,0.44999999999999996,ball_tree,0.11453600966700093,0.5707653159061713,3990.2320871104357
3,dbscan,0.25,kd_tree,0.1551787214586115,0.3824658031696626,5666.2318068267705
4,dbscan,0.35,kd_tree,0.14636553158113805,0.4972156447735811,5289.247429965973
5,dbscan,0.44999999999999996,kd_tree,0.11453600966700093,0.5707653159061713,3990.2320871104357
6,dbscan,0.25,brute,0.1551787214586115,0.3824658031696626,5666.2318068267705
7,dbscan,0.35,brute,0.14636553158113805,0.4972156447735811,5289.247429965973
8,dbscan,0.44999999999999996,brute,0.11453600966700093,0.5707653159061713,3990.2320871104357
