customer_id,vendor_count,is_chain,product_data_labels
1b8f824d5e,2,1,1
5d272b9dcb,2,2,1
f6d1b2ba63,1,2,1
180c632ed8,2,1,1
4eb37a6705,2,0,1
6aef2b6726,2,0,1
8475ee66ef,2,2,1
f2f53bcc67,2,2,1
5b650c89cc,3,2,1
84775a7237,2,0,1
dd4bcde51a,2,2,1
4eff9f04bf,2,1,1
8733352e37,2,1,1
dce8e4700a,2,0,1
f3070b7bbf,2,2,1
f49ed5489a,2,2,1
7c027ecfd3,1,2,1
7d9a62afd6,2,2,1
d5ef759319,3,2,1
dd27b47fb5,2,1,1
e79f867434,2,1,1
eb13ad08ad,4,2,0
fd1202393e,2,2,1
1f1fe12bed,5,1,0
29786040d4,2,0,1
47e04c1274,2,3,1
68e63f5236,2,2,1
8e8652bdc8,2,2,1
b92ab1eeec,5,5,0
ccd38a80b8,2,2,1
e8e2f0ceaa,2,0,1
14f6344b4d,3,2,1
717b3c4687,2,0,1
8ef0980510,2,1,1
ae38da6386,2,1,1
f8d0140d7c,2,5,1
0a731445a4,2,2,1
6137fa5620,2,2,1
a11cd335ff,2,1,1
ba2f1ced9c,2,0,1
22f355aeb4,4,2,0
8d985fae15,3,3,0
afc96f7eaa,5,4,0
412c8c0b2d,1,0,1
f0204a5fed,3,3,0
1a1761e910,2,1,1
728552f1e2,1,3,1
8b1a9a013b,2,0,1
9aadcc2e76,3,2,1
9bdb616748,2,2,1
a9f54fe565,2,3,1
ac5d148391,2,2,1
d6cf0c552d,3,3,0
ef90f2896f,5,4,0
63cb294ad9,5,1,0
6f17174721,1,2,1
e2a78e91ab,2,2,1
f44a00e6b7,2,1,1
5ff91ba1e7,2,0,1
92d8bc44b4,2,0,1
c12dd2c84d,2,2,1
d1be39876d,2,2,1
f9149817de,2,1,1
65b5f99b38,2,1,1
6f36cc3a8c,2,2,1
92676da2f6,2,2,1
ae629c62a4,2,2,1
0f1296cd12,2,1,1
2a90e9da84,2,1,1
3c687cd02b,1,2,1
71f27a325a,2,2,1
808a60c58e,2,3,1
a67d3108cb,2,1,1
6634edd8ba,2,0,1
7e218c8401,3,1,1
40b5c1bf89,3,2,1
c79709f885,3,2,1
273bf88a7a,3,3,0
986ffd3978,2,1,1
a9bac03d6b,2,2,1
cd9fbabc74,1,2,1
f05dc76d77,3,1,1
1a657638a3,4,4,0
1b54aeb30e,2,1,1
66962f296d,2,3,1
9021b0eeef,2,1,1
a21a839c77,1,4,1
c356ce63ab,1,5,1
f30b826759,2,2,1
b5feb6761d,1,3,1
c61c9a1bab,2,1,1
196a727bde,3,2,1
3755ea83a7,2,2,1
abf467fcb9,2,2,1
d4eb2dcdd4,2,2,1
058404008c,2,2,1
0d526ed789,1,0,1
1f04b6d085,2,0,1
37c312f839,4,7,0
543b4d9746,5,12,3
8a886b03ad,2,0,1
178a2066cd,2,0,1
8488cf477c,1,0,1
d5cbe9cd02,7,12,3
feaab115c2,4,4,0
0d6be37d38,1,0,1
24c8145794,4,3,0
2be9a73116,4,3,0
5acfb1cbe8,2,2,1
5ccb9c10e7,2,1,1
8c5ab58abc,4,3,0
9dff2cfcaf,2,2,1
ae60e1e941,4,4,0
bdbc772f59,2,0,1
db71787456,3,5,0
