,Model,min_cluster_size,cluster_selection_method,R2,Silhouette,Calinski-Harabasz
0,hdbscan,5,leaf,0.24497710064294853,-0.3058947045446833,14.0361730202428
1,hdbscan,15,leaf,0.16999333536024938,-0.3499369392907058,43.368786526684296
2,hdbscan,25,leaf,0.1180248021907582,-0.18225751921771496,73.58357498694507
3,hdbscan,35,leaf,0.06699658907095425,-0.20930806698436055,73.76778599765589
4,hdbscan,45,leaf,0.04392193572825192,-0.20965305244098345,118.05353407368726
5,hdbscan,55,leaf,0.0291213054874563,-0.2008875247874399,132.1570580367981
6,hdbscan,65,leaf,0.03360698918974272,-0.19982579334073283,178.76446331609205
7,hdbscan,5,eom,0.25181734973251363,-0.3196400800594203,16.60129159936044
8,hdbscan,15,eom,0.18049389236333807,-0.38165202439433155,72.83786705603802
9,hdbscan,25,eom,0.21615269152964403,0.047414173789469015,2835.3506483867973
10,hdbscan,35,eom,0.21722687352921294,0.04834156195392754,4280.165696263114
11,hdbscan,45,eom,0.21561240532981854,0.01666874429487346,4239.610565235509
12,hdbscan,55,eom,0.07515673199353318,0.005165831493013839,1253.3797844463122
13,hdbscan,65,eom,0.05752330279328297,-0.006744957788118292,941.3608455902263
