,Model,eps,algorithm,R2,Silhouette,Calinski-Harabasz
0,dbscan,0.25,ball_tree,0.1854647787590052,0.04452056388996658,3511.838335032123
1,dbscan,0.35,ball_tree,0.13418888478951058,0.20212410434822078,1593.5694162008956
2,dbscan,0.44999999999999996,ball_tree,0.09579661988891133,0.4004075220826054,3268.2184067548883
3,dbscan,0.5499999999999999,ball_tree,0.061312437596037175,0.455422025458108,1007.4197412811199
4,dbscan,0.6499999999999999,ball_tree,0.039817587930340376,0.5208913129620982,1279.2287559453453
5,dbscan,0.25,kd_tree,0.1854647787590052,0.04452056388996658,3511.838335032123
6,dbscan,0.35,kd_tree,0.13418888478951058,0.20212410434822078,1593.5694162008956
7,dbscan,0.44999999999999996,kd_tree,0.09579661988891133,0.4004075220826054,3268.2184067548883
8,dbscan,0.5499999999999999,kd_tree,0.061312437596037175,0.455422025458108,1007.4197412811199
9,dbscan,0.6499999999999999,kd_tree,0.039817587930340376,0.5208913129620982,1279.2287559453453
10,dbscan,0.25,brute,0.1854647787590052,0.04452056388996658,3511.838335032123
11,dbscan,0.35,brute,0.13418888478951058,0.20212410434822078,1593.5694162008956
12,dbscan,0.44999999999999996,brute,0.09579661988891133,0.4004075220826054,3268.2184067548883
13,dbscan,0.5499999999999999,brute,0.061312437596037175,0.455422025458108,1007.4197412811199
14,dbscan,0.6499999999999999,brute,0.039817587930340376,0.5208913129620982,1279.2287559453453
