,Model,n_clusters,random_state,R2,Silhouette,Calinski-Harabasz
0,kmeans,2,42,0.3450256272505441,0.314975317425682,16250.025943376162
1,kmeans,3,42,0.49094130830323834,0.3057160406468017,14874.578102921416
2,kmeans,4,42,0.5507391746870529,0.29407824014986644,12604.482463360375
3,kmeans,5,42,0.5856434763157399,0.24027541647724945,10898.931230972072
4,kmeans,6,42,0.6086541104794357,0.22372504782832703,9594.237673800859
5,kmeans,7,42,0.6303032212028484,0.20026813319197542,8764.138327455761
