,Model,x,y,input_len,sigma,learning_rate,num_iterations,R2,Silhouette,Calinski-Harabasz
0,som,15,15,33,0.5,1.0,650,0.3573818484669398,0.1480664029622316,1715.0618603877076
1,som,15,15,33,0.5,0.9,650,0.34613593471416537,0.17063276991317772,1360.3482213736463
2,som,15,15,33,0.5,0.8,650,0.3219397121927419,0.18050343356679746,1626.96459339131
3,som,15,15,33,0.5,1.0,660,0.34412308032688377,0.009694529887207147,1011.084036640498
4,som,15,15,33,0.5,0.9,660,0.30215634631492005,0.1615505234144289,1669.21412616726
5,som,15,15,33,0.5,0.8,660,0.2924303287723933,0.18992796678223473,1820.948637235613
6,som,15,15,33,0.5,1.0,670,0.32139754114678437,0.13055350288693576,1460.5869227434725
7,som,15,15,33,0.5,0.9,670,0.3384736717381515,0.01641307867839363,1577.894804301906
8,som,15,15,33,0.5,0.8,670,0.35372647722374834,0.13444886266157616,1687.918574204056
9,som,15,15,33,0.5,1.0,680,0.36504276051434376,0.12040233026001511,1363.684629600303
10,som,15,15,33,0.5,0.9,680,0.2778177205009576,-0.008138293560936777,988.5621781699817
11,som,15,15,33,0.5,0.8,680,0.3005908278625617,0.046106052474874905,1019.4339338030413
12,som,15,15,33,0.5,1.0,690,0.3505887413420999,0.06596608267684545,1387.295655954216
13,som,15,15,33,0.5,0.9,690,0.3298852226242101,0.07412181996762073,1265.0408250334376
14,som,15,15,33,0.5,0.8,690,0.28708650200987973,0.07323498756034087,1774.2729397347753
15,som,15,15,33,0.5,1.0,700,0.3476265465678492,0.17437844479586456,1825.9484552989854
16,som,15,15,33,0.5,0.9,700,0.3604962854186013,0.169556783816262,1337.1262269721897
17,som,15,15,33,0.5,0.8,700,0.34651853289933293,0.17161763270576028,2044.2389362172332
18,som,15,15,33,0.5,1.0,710,0.356064216320166,0.07280511760093089,1136.6437797338713
19,som,15,15,33,0.5,0.9,710,0.3335226842132131,0.11038709873643787,1285.9701259976491
20,som,15,15,33,0.5,0.8,710,0.35884670271340546,0.16909802800067827,1917.8690023668778
21,som,15,15,33,0.5,1.0,720,0.34038896505756494,0.112079912812526,1136.5890742029817
22,som,15,15,33,0.5,0.9,720,0.31881614699365274,0.09287487670864993,1030.8414690901109
23,som,15,15,33,0.5,0.8,720,0.2801695447876113,0.16126280118311787,1200.3032837997707
24,som,15,15,33,0.5,1.0,730,0.34844024731244827,0.13282210913002526,1268.4949664493358
25,som,15,15,33,0.5,0.9,730,0.32092563723168205,0.11771016092352002,1324.8923619827706
26,som,15,15,33,0.5,0.8,730,0.35333075514367873,0.10254913539801813,1531.7671583044246
27,som,15,15,33,0.5,1.0,740,0.2950376757668334,0.2132775831688618,1290.660021139511
28,som,15,15,33,0.5,0.9,740,0.2997443009535382,-0.0750133716349239,1320.0627298990166
29,som,15,15,33,0.5,0.8,740,0.34456723411110085,0.1110549923099282,1350.9419973170748
